Country,Australia,Austria,Belgium,Canada,Chile,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Israel,Italy,Lithuania,Latvia,Luxembourg,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,United Kingdom,United States
36,2904,1523,1904,5445,2393,2041,985,284,979,10907,16733,2315,2220,55,895,11262,673,476,86,2690,630,711,7556,2053,969,370,7906,1517,1167,9085,60175
37,2771,1568,1825,5330,2404,2086,984,256,1123,11487,17101,2274,2333,40,963,11627,729,479,73,2740,624,785,7703,2219,1034,392,8182,1527,1259,11202,59580
38,2767,1569,2012,5435,2401,2223,1082,315,1043,12122,17540,2276,2471,46,1004,11821,721,486,87,2720,604,772,8230,2111,963,420,8338,1513,1243,10798,59662
39,2741,1532,1934,5745,2364,2389,974,332,1087,11160,17398,2156,2459,37,1026,11179,784,530,75,2892,611,740,8219,1881,1042,353,8290,1563,1253,10895,60531
40,2738,1587,1930,5680,2339,2383,996,304,977,12154,17590,2223,2562,38,1010,12017,744,532,82,2999,651,786,8413,2129,1135,408,8347,1547,1241,11489,59627
41,2652,1624,2075,5800,2396,2609,938,274,984,12125,17463,2214,2563,52,1113,12246,785,506,69,3020,610,742,9187,2143,1071,412,8807,1543,1332,11304,61470
42,2587,1619,2162,5765,2307,2951,1008,314,1072,12446,17719,2144,2752,47,1080,12746,836,551,87,3220,614,713,10231,2195,1204,438,8773,1612,1286,12059,60110
43,2587,1780,2631,5800,2302,3645,1096,308,1071,13953,18567,2223,2987,50,1047,14547,845,570,93,3449,689,797,12364,2211,1276,507,9712,1570,1492,12294,61647
44,2702,1896,3293,5935,2267,4218,979,270,1128,14878,18566,2413,3184,55,927,15659,853,546,98,3682,583,790,14741,2460,1362,585,9852,1691,1692,12535,62866
45,2624,2006,3700,6280,2239,4235,1026,290,1040,15872,19056,2547,3548,50,904,17335,877,551,113,3590,631,774,16242,2545,1437,620,10599,1673,2064,13468,66990
46,2707,2287,3444,6155,2120,3859,1097,293,1020,15727,19748,2784,3961,54,812,18647,952,567,117,3578,586,778,15633,2730,1411,731,10265,1868,2143,13988,68189
47,2572,2414,3189,6040,2184,3422,1082,319,1112,15263,20185,3149,3947,45,929,18784,1099,597,126,3330,611,801,14827,2695,1371,719,9948,1989,2150,14243,70616
48,2558,2442,2903,6005,2202,3168,1097,340,1099,14963,21276,3297,4066,35,930,18887,1109,610,134,3401,648,768,13626,2679,1425,777,9764,1959,2117,14172,72266
49,2625,2550,2706,6150,2175,3102,1105,343,1098,14802,22639,3336,4165,39,925,17995,1238,660,110,3520,642,787,12978,2838,1458,797,9775,2148,2171,13965,75528
50,2644,2479,2787,6260,2187,3103,1095,348,1089,14768,23944,3115,4087,46,965,17482,1220,705,126,3609,639,839,12014,3009,1553,783,9694,2117,2206,13926,79544
51,2599,2264,2751,6090,2155,3244,1273,342,1091,14353,24701,2938,3729,43,999,17073,1371,723,105,3901,670,818,11677,2909,1616,711,9538,2299,2184,14618,80148
52,2521,2131,2622,0,2288,3215,1212,359,938,14090,25481,2763,3752,52,1010,15703,1395,815,117,3853,624,826,12119,2781,1793,681,9172,2316,2107,13058,81185
53,0,2004,2453,0,2235,3491,1256,370,931,14646,25362,2678,3437,30,1135,15926,1343,743,97,4077,0,828,11767,3138,2059,656,9412,2374,1974,0,83348
